text,label,text_original,text_recovered,n_obf_detected,recovery_log,has_obfuscation
i need a heated bra because my nips hurt so bad,0,I need a heated bra because my nips hurt so bad!,i need a heated bra because my nips hurt so bad,0,,0
it's lame that you can buy clothes that look like real military clothing if you wear it i will make fun of you you're a star bitch,1,"It's lame that you can buy clothes that look like real military clothing.
If you wear it I will make fun of you.
You're a 4 star bitch.",it is lame that you can buy clothes that look like real military clothing if you wear it i will make fun of you you are a four star bitch,0,,0
the bitch who shot cj is going upstate now he can rip,1,The bitch who shot CJ is going upstate &#128079;&#128079;&#128588;&#128588;&#128591;&#128591; now he can RIP &#128124; http://t.co/ualjxaPMKJ,the bitch who shot cj is going upstate now he can rip,0,,0
this bitch played too much subway surfer,1,RT @ArlisDoNotChill: This bitch played too much Subway Surfer http://t.co/BK5UnHQO3z,this bitch played too much subway surfer,0,,0
joe cortez is the ultimate faggot that fight proved it,1,@Buckm00se Joe Cortez is the ultimate faggot that fight proved it,joe cortez is the ultimate faggot that fight proved it,0,,0
fresh out the gym but yet i'm bout to eat free birds,0,Fresh out the gym but yet I'm bout to eat free birds.,fresh out the gym but yet i am bout to eat free birds,0,,0
charlie sheen could coach better than crusty dusty yeah they hired bryan price the pitching coach,0,"@05proFESSOR Charlie Sheen could coach better than Crusty Dusty. Yeah they hired Bryan Price, the pitching coach",charlie sheen could coach better than crusty dusty yes they hired bryan price the pitching coach,0,,0
"last year i had to explain why ""queer theory is the acceptable academic term",0,"@haylebopp last year i had to explain why ""queer theory"" is the acceptable academic term",last year i had to explain why queer theory is the acceptable academic term,0,,0
when you die on flappy bird,0,RT @JustReIatabIe: when you die on flappy bird &#128514; http://t.co/Pu7uqxJFMc,when you die on flappy bird,0,,0
bitch be working and keep singing like she ain't never bust a move,1,RT @cocaLove_: bitch be working and keep singing like she ain't never bust a move &#128539;,bitch be working and keep singing like she is not never bust a move,0,,0
so i've been pretty paranoid about the cooling weather bringing about an abundance of birds in austin nyc and philadelphia,0,"So I've been pretty paranoid about the cooling weather bringing about an abundance of birds in Austin, NYC and Philadelphia.",so i have been pretty paranoid about the cooling weather bringing about an abundance of birds in austin nyc and philadelphia,0,,0
"are a whole lot better when you're driving a vehicle ""that white pussy uhhh get ya",1,"&#8220;@OnStar: #Mondays are a whole lot better when you're driving a vehicle http://t.co/LIixxMzNdZ&#8221;

""That white pussy uhhh get ya""",mondays are a whole lot better when you are driving a vehicle that white pussy uh get you,1,uhhh→uh[elongation],1
how long are they going to let the fools in continue stop pussy footin and disperse them by whatever means necessary,0,How long are they going to let the fools in #Ferguson continue? Stop pussy footin' &amp; disperse them by WHATEVER means necessary!,how long are they going to let the fools in ferguson continue stop pussy footin and disperse them by whatever means necessary,0,,0
just days until yankees pitchers and catchers report,0,RT @BryanHoch: Just 113 days until Yankees pitchers and catchers report.,just one hundred thirteen days until yankees pitchers and catchers report,0,,0
bullshit.i guess the poor have all the money.tax money movers at same rate as working people.you teabaggers are traitors,1,@SteveStockmanTX bullshit..i guess the poor have all the money..tax money movers at same rate as working people..you teabaggers are traitors,bullshit i guess the poor have all the money tax money movers at same rate as working people you teabaggers are traitors,0,,0
im ready to obliterate this match its infuriating,0,I’m ready to obliterate this match; it’s infuriating!,i am ready to obliterate this match it is infuriating,0,,0
fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them,1,@BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them,fight that shit say you are on free lunch and they must have the game fucked up because you are colored like the rest of them,0,,0
i wonder how many of y'all hoes got homegrown sex tapes online and u.o.e.n.o,1,RT @TheVoiceOfMiami: I wonder how many of y'all hoes got homegrown sex tapes online and U.O.E.N.O,i wonder how many of you all hoes got homegrown sex tapes online and you o e and o,0,,0
if a tree falls in the woods and nobody is around does it make any noise if nj blows away and only trash live the,0,RT @stoolpresidente: If a tree falls in the woods and nobody is around does it make any noise? If NJ blows away and only trash live the ...,if a tree falls in the woods and nobody is around does it make any noise if nj blows away and only trash live,0,,0
jimmy graham is one ugly son of a bitch,1,RT @eeerik23: Jimmy Graham is one ugly son of a bitch,jimmy graham is one ugly son of a bitch,0,,0
i have a feeling tonight will be trash,0,I have a feeling tonight will be trash.,i have a feeling tonight will be trash,0,,0
lmaooooo epic bird wins,0,@bocgeogaddi @anepicname lmaooooo epic bird wins.,lmaoo epic bird wins,1,lmaooooo→lmao[elongation],1
making weed brownies tonight& goin slide me a batch relo,0,&#8220;@Tom_2Times: Making weed brownies tonight&#8221; goin slide me a batch relo,making weed brownies tonight going slide me a batch relo,0,,0
i don't play about the monkey you have to earn this shit&,1,"RT @Ke2yourheart: I don't play about the monkey, you have to earn this shit&#128564;",i do not play about the monkey you have to earn this shit,0,,0
latest draftexpress mock draft has randle cauley-stein young poythress harrison twins and dakari johnson a&,0,"RT @KYHoopsBuzz: Latest DraftExpress mock draft has Randle #3, Cauley-Stein #9, Young #14, Poythress #37. Harrison twins &amp; Dakari Johnson a&#8230;",latest draftexpress mock draft has randle three cauley stein nine young fourteen poythress thirty seven harrison twins and dakari johnson,0,,0
bigots demand recount in rights ordinance referendum,0,Bigots demand recount in #Idaho #gay rights ordinance referendum http://t.co/TorYEXxMwi #tcot #teaparty #teabaggers #lgbt,bigots demand recount in idaho gay rights ordinance referendum tcot teaparty teabaggers lgbt,0,,0
yay i like when jacob has colored layouts,0,yay I like when jacob has colored layouts,yay i like when jacob has colored layouts,0,,0
this is a true ride or die bitch what the fuck hahahahah,1,"""@obey_jrock__: This is a true ride or die bitch &#128175; http://t.co/bkwHX83fkW"" what the fuck hahahahah",this is a true ride or die bitch what the fuck hahahahah,0,,0
verizon customer service is trash as fuck i've been in the store haven't been greeted or nothing,1,Verizon customer service is trash as fuck. I've been in the store haven't been greeted or nothing.,verizon customer service is trash as fuck i have been in the store have not been greeted or nothing,0,,0
nobody likes bloody nips,1,nobody likes bloody nips!,nobody likes bloody nips,0,,0
free wop,0,Free wop,free wop,0,,0
idk why bitches think they players lol bitches have zero game,1,Idk why bitches think they players lol bitches have zero game,i do not know why bitches think they players laughing out loud bitches have zero game,0,,0
if a single wasp could read these tweets there could be a peace treaty between wasps and man but wasps are,0,RT @Ketamine_Stalin: IF A SINGLE WASP COULD READ THESE #WaspFacts TWEETS THERE COULD BE A PEACE TREATY BETWEEN WASPS AND MAN BUT WASPS ARE &#8230;,if a single wasp could read these waspfacts tweets there could be a peace treaty between wasps and man but wasps,0,,0
i know that's trash,0,RT @DameStr8Cash: @JaeTips I know that's trash,i know that is trash,0,,0
ohhhhh yes bitch yesss& ;u ready t?&,1,&#8220;@HighClassCapri: @what_evaittakes ohhhhh yes bitch yesss&#8221;u ready T?&#128527;&#128520;,oh yes bitch yes you ready t,1,ohhhhh→oh[elongation],1
lol father has bitches pouring arizona tea on themselves in this one video,1,Lol Father has bitches pouring arizona tea on themselves in this one video,laughing out loud father has bitches pouring arizona tea on themselves in this one video,0,,0
there isn't a green one either there's red and yellow in that pic,0,@CCobey @tess_stepakoff there isn't a green one either. There's red and yellow in that pic...,there is not a green one either there is red and yellow in that,0,,0
im wearing a sweater and it's ike degrees in my house,0,im wearing a sweater and it's ike 80 degrees in my house,i am wearing a sweater and it is ike eighty degrees in my house,0,,0
colored denim makes me puke,0,colored denim makes me puke,colored denim makes me puke,0,,0
is worse than the jig i'm convinced,0,"#FemaleLogic is worse than the jig, I'm convinced",femalelogic is worse than the jig i am convinced,0,,0
i mean.if you blow a foul there it has to be a yellow in that situation no,0,"I mean...If you blow a foul there, it has to be a yellow in that situation no?",i mean if you blow a foul there it has to be a yellow in that situation no,0,,0
good morning baton rouge having a nip of,0,RT @RamonRoblesJr: Good morning Baton Rouge. @ajohnson_a having a nip of @MBMoonshine http://t.co/5JZH1BhWWk,good morning baton rouge having a nip of,0,,0
were gunna shake our honkey tonk badonkadonks,0,were gunna shake our honkey tonk badonkadonks (': @SAMMI_boyden,were gunna shake our honkey tonk badonkadonks,0,,0
he loves me *eats a brownie* he loves me not *eats a brownie*,0,"RT @Smug_Lemur: He loves me *eats a brownie* 
He loves me not *eats a brownie*",he loves me eats a brownie he loves me not eats a brownie,4,*eats→envy[masking]; brownie*→browbeat[masking]; *eats→envy[masking]; brownie*→browbeat[masking],1
i'm colored ain't supposed to be no good influence,1,"@_LezzzBeHonest 
I'm colored. Ain't supposed to be no good influence",i am colored is not supposed to be no good influence,0,,0
it ain't nothin to cut that bitch off&,1,RT @JLM_2014: It ain't nothin to cut that bitch off&#128129;,it is not nothin to cut that bitch off,0,,0
y'all both trash,1,@LimitlessMudi @YoDeddyUgly Y'all both trash,you all both trash,0,,0
i was told never fold and never sell my sole,0,I was told never fold &amp; never sell my sole,i was told never fold and never sell my sole,0,,0
fucking pussy bruh lol,1,Fucking pussy bruh lol,fucking pussy brother laughing out loud,0,,0
"palin mocks obama on russia rhetorically asks ""who could have seen this coming the crowd goes wild",0,"Palin mocks Obama, on Russia rhetorically asks ""who could have seen this coming,"" the crowd goes wild #CPAC2014",palin mocks obama on russia rhetorically asks who could have seen this coming the crowd goes wild cpac,0,,0
"that's bc i deleted ""visionary once i saw your subtweet next time just me tho (and i do love jail bird dresses.&",0,"@santagati that's bc I deleted ""visionary"" once I saw your subtweet. next time just @ me tho. (and I do love jail bird dresses.&#128513;)",that is because i deleted visionary once i saw your subtweet next time just me though and i do love jail bird dresses,0,,0
average is basic and basic is trash,0,Average is basic and basic is trash &#128514;&#128514;,average is basic and basic is trash,0,,0
when i make the paper ball into the trash can,0,RT @Lmao: When I make the paper ball into the trash can. &#128240;&#127936;&#128168; http://t.co/VjeGtjEP3X,when i make the paper ball into the trash can,0,,0
when she comes through with the nudes but they trash but she got big titties,1,"RT @iROiB: When she comes through with the nudes, but they trash, but she got big titties http://t.co/1weYPG8rEr",when she comes through with the nudes but they trash but she got big titties,0,,0
bitches b tweeting everything they see to b relavent its really sad,1,RT @TeeeeRenee: bitches b tweeting everything they see to b Relavent &#128514;&#128514;&#128514; its really sad &#128563;,bitches b tweeting everything they see to b relavent it is really sad,0,,0
swap meet bound,0,Swap meet bound #beaner,swap meet bound beaner,0,,0
"there was a fly that was banging into all the windows and i called it retarded but then i thought to myself ""umm i'm talki&",0,"RT @luke_brooks: There was a fly that was banging into all the windows and I called it retarded but then I thought to myself ""umm I'm talki&#8230;",there was a fly that was banging into all the windows and i called it retarded but then i thought to myself umm i am talki,0,,0
the person actually holding the ape is not paris it's her sister,0,@miquelpaniscus @ArcusGreatApes @graspunep The person actually holding the ape is NOT Paris. It's her sister,the person actually holding the ape is not paris it is her sister,0,,0
have you hugged a wacko-bird today,0,Have you hugged a wacko-bird today?,have you hugged a wacko bird today,0,,0
i don't like it peaceful that's boring i like fighting i come from the ghetto do u remember that it's p impossible for me not to,0,@obamac0re I don't like it peaceful that's boring I like fighting I come from the ghetto do u remember that it's p impossible for me not to,i do not like it peaceful that is boring i like fighting i come from the ghetto do you remember that it is p impossible for me not to,0,,0
he said get up bitch that's not pg,1,He said get up bitch... That's not PG #FROhorsemen,he said get up bitch that is not pg frohorsemen,0,,0
i'm so glad i don't wake up lookin like one those medusa lookin bitches,1,I'm so glad I don't wake up lookin like one those Medusa lookin bitches,i am so glad i do not wake up lookin like one those medusa lookin bitches,0,,0
powers u don't go outside ur tanks been on full for months u anti social monkey,0,RT @OutTheOrdinary1: @P0WERS_ @eGoaTizM @Blaztful powers U don't go outside ur tanks been on full for 2 months U anti social monkey,powers you do not go outside your tanks been on full for two months you anti social monkey,0,,0
who needs an alarm when you have the worlds most annoying bird outside your window,0,Who needs an alarm when you have the worlds most annoying bird outside your window?!??,who needs an alarm when you have the worlds most annoying bird outside your window,0,,0
i'll start at the butt and work my way to the pussy,1,I'll start at the butt and work my way to the pussy,i will start at the butt and work my way to the pussy,0,,0
says the pedophile promoting dolt lmao,1,@WendyGAv says the pedophile promoting dolt. LMAO #teabagger,says the pedophile promoting dolt laughing out loud teabagger,0,,0
or get swept in motown lol,0,Or get swept in MoTown LOL #Yankees #Tigers #MLB,or get swept in motown laughing out loud yankees tigers mlb,0,,0
mccann although not having the greatest of seasons would be a step up from russel martin mccann or carlos ruiz,0,"McCann, although not having the greatest of seasons, would be a step up from Russel Martin. McCann or Carlos Ruiz #MLB #Yankees",mccann although not having the greatest of seasons would be a step up from russel martin mccann or carlos ruiz mlb yankees,0,,0
so city lights is a charlie chaplin movie by via,0,RT @tableninemutant: So City Lights is a Charlie Chaplin movie by @007hertzrumble http://t.co/qYN1Bc7MxS via @wordpressdotcom,so city lights is a charlie chaplin movie by via,0,,0
genesis 2:19 out of the ground the lord god formed every beast of the field and every of the sky,0,@1Corinthians126 #Jesus Genesis 2:19 Out of the ground the LORD God formed every beast of the field and every #bird of the sky #Initiating,jesus genesis two nineteen out of the ground the lord god formed every beast of the field and every bird of the sky initiating,0,,0
better off banning teabaggers and their anti american supporters,0,@yooperslayer better off banning teabaggers and their anti American supporters,better off banning teabaggers and their anti american supporters,0,,0
sooo my first aid/cpr certification came in handy tonight glad i didn't lose my monkey,0,Sooo my first aid/cpr certification came in handy tonight. Glad I didn't lose my monkey @Bekkalina13,so my first aid cpr certification came in handy tonight glad i did not lose my monkey,1,sooo→so[elongation],1
the trash wheel has a twitter and googly eyes,0,the trash wheel has a twitter? and googly eyes?,the trash wheel has a twitter and googly eyes,0,,0
this yr old on made my chicken look like trash,0,This 8 yr old on #masterchefjunior made my chicken look like trash.,this eight yr old on masterchefjunior made my chicken look like trash,0,,0
trash,0,trash http://t.co/oeDKEHyyXJ,trash,0,,0
yankees getting killed,0,Yankees getting killed,yankees getting killed,0,,0
the fruit of the modern yankees farm system joba the nut,0,&#8220;@sportspickle: The fruit of the modern Yankees farm system. http://t.co/LfWC3LSRjO&#8221; Joba the Nut.,the fruit of the modern yankees farm system joba the nut,0,,0
"trash see how i capitalized the ""t in trash wtf is this oreo song by r kelly tf",1,"Trash.. see how i capitalized the ""T"" in Trash.. RT @misskai__: Wtf is this Oreo song by r Kelly ? &#128514; tf",trash see how i capitalized the t in trash what the fuck is this oreo song by are kelly tf,0,,0
so ppl are pissed off basically saying if we have to suffer you will too tourching tht bitch,1,"@Awint94 so ppl are pissed off basically saying if we have to suffer, you will too. Tourching tht bitch",so people are pissed off basically saying if we have to suffer you will too tourching tht bitch,0,,0
"this being too sick to function is for the birds i was starting to feel slightly better earlier,now i feel like death again",0,"This being too sick to function is for the birds ! I was starting to feel slightly better earlier,now I feel like death again!",this being too sick to function is for the birds i was starting to feel slightly better earlier now i feel like death again,0,,0
fairy fun losing her wings doesn't mean there aren't other ways to fly,0,"RT @anitaphilmar: Fairy Fun - Losing her wings doesn't mean there aren't other ways to fly? #asmsg, #erotica #shortstory http://t.co/t6LuM&#8230;",fairy fun losing her wings does not mean there are not other ways to fly asmsg erotica shortstory,0,,0
"in the yankees draft room they had a huge picture of greg campbell with the message ""this is the makeup we're looking for",0,"RT @pgammo: In the Yankees draft room, they had a huge picture of Greg Campbell with the message, ""this is the makeup we're looking for.""",in the yankees draft room they had a huge picture of greg campbell with the message this is the makeup we are looking for,0,,0
well good morning early birds t minus mins until thee clock out then breakfast shower rub one and sleep,0,Well good morning early birds.. t minus 47 mins until thee clock out. Then breakfast shower rub one and sleep!,well good morning early birds t minus forty seven mins until thee clock out then breakfast shower rub one and sleep,0,,0
well ho di doe thank you,1,"@IAmPikey 
Well ho di doe. Thank you",well ho di doe thank you,0,,0
inna di ghetto you alone lmaoo,0,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo",inna di ghetto you alone lmaoo,0,,0
comin from a fat bitch,1,Comin from a fat bitch,comin from a fat bitch,0,,0
god teeth gold chain white bitches cocaine,1,"""@bleedingtrap: god teeth , gold chain
white bitches , cocaine""",god teeth gold chain white bitches cocaine,0,,0
pop me a pill and throw that pussy a rave,1,pop me a pill &amp; throw that pussy a rave,pop me a pill and throw that pussy a rave,0,,0
mk hun just textith me,0,@longbongchris mk Hun just textith me,mk hun just textith me,0,,0
i look at every bitch ass that walk past me,1,RT @mirah_101: i look at EVERY bitch ass that walk past me !,i look at every bitch ass that walk past me,0,,0
okay and melo bitch,1,@ThatBoyACE71 @BrunswickBeCooo Okay and Melo bitch ?,okay and melo bitch,0,,0
mfz in this bitch sellin chicken wings and fries,1,RT @JayUcci_: &#128514; mfz in this bitch sellin chicken wings &amp; fries,mfz in this bitch sellin chicken wings and fries,0,,0
get a can of wasp spray it shoots out feet and cheaper than bear spay or mace works just as good,0,"@JunDishes get a can of WASP SPRAY. it shoots out 20 feet and cheaper than bear spay or mace, works just as good",get a can of wasp spray it shoots out twenty feet and cheaper than bear spay or mace works just as good,0,,0
uh i think his mom loves him you fucking retard i'm sure your gunna be so successful emilie we all believe,1,@triple6em96 @Hunglikerobby_ uh I think his mom loves him you fucking retard. I'm sure your gunna be so successful emilie. We all believe &#128521;,uh i think his mom loves him you fucking retard i am sure your gunna be so successful emilie we all believe,0,,0
'worst tweet ever pr 'pro manages to sound racist mock aids in a single tweet,0,"RT @TwitchyTeam: 'Worst tweet ever'? PR 'pro' manages to sound racist, mock AIDS in a single tweet http://t.co/0nTcWbrMMk",worst tweet ever pr pro manages to sound racist mock aids in a single tweet,0,,0
enough with the mind fuck and pass me the fucking nachos cunt,1,"RT @worley_7: Enough with the mind fuck and pass me the fucking nachos, cunt.",enough with the mind fuck and pass me the fucking nachos cunt,0,,0
me and my homie rockin that bitch all night now&,1,Me and my homie @hou_hefner ROCKIN that bitch all night #MeetUsHere NOW&#10071;&#65039;&#10071;&#65039;&#10071;&#65039;&#10071;&#65039; http://t.co/06olvik6lD,me and my homie rocking that bitch all night meetushere now,0,,0
every bitch tell me i act like a nigga whatever the fuck that means&,1,&#8220;@lyricsaidso: every bitch tell me I act like a nigga.. whatever the fuck that means&#8221;,every bitch tell me i act like a nigga whatever the fuck that means,0,,0
kick her in the cunt,1,RT @salomanizor: Kick her in the cunt,kick her in the cunt,0,,0
don't start lil bitch,1,@marshabitch don't start lil bitch,do not start lil bitch,0,,0
think its cause she saw me doing biceps lmao jk im still a bitch,1,@NotReallyGRyan think its cause she saw me doing biceps &#128527;&#128557;&#128514; lmao jk im still a bitch !&#128077;,think it is because she saw me doing biceps laughing out loud jk i am still a bitch,0,,0
cause everyone just loves yo bitch ass rite yea sure,1,@caylanashlee cause everyone just loves yo bitch ass rite? Yea sure...,because everyone just loves yo bitch ass rite yes sure,0,,0
i traveled back in time to middle-earth and crept up on my enemy i slit the hobbit's throat and by reflex vomited into my trembling hand,0,I traveled back in time to Middle-earth and crept up on my enemy. I slit the hobbit's throat and by reflex vomited into my trembling hand.,i traveled back in time to middle earth and crept up on my enemy i slit the hobbits throat and by reflex vomited into my trembling hand,0,,0
rick scott beating win number in counties charlie crist in 13,0,"RT @EchelonInsights: Rick Scott beating win number in 30 counties, Charlie Crist in 13. #FLGOV",rick scott beating win number in thirty counties charlie crist in thirteen flgov,0,,0
this my dog telling me he is done playing frisbee for now lazy mutt,0,This my dog telling me he is done playing frisbee for now.. lazy mutt http://t.co/l4AocjczsH,this my dog telling me he is done playing frisbee for now lazy mutt,0,,0
yall bitches be liking yall asses ate lmfao,1,Yall bitches be liking yall asses ate lmfao,you all bitches be liking you all asses ate laughing out loud,0,,0
i wish i could smash the keyboard for all the times ive lost,0,I wish I could smash the keyboard for all the times I’ve lost.,i wish i could smash the keyboard for all the times i have lost,0,,0
see when you paid them bitches pay attention but when you broke you never mentioned so fuck em and keep it strictly pimpin,1,See when you paid them bitches pay attention but when you broke you never mentioned so fuck em and keep it strictly pimpin,see when you paid them bitches pay attention but when you broke you never mentioned so fuck them and keep it strictly pimpin,0,,0
no saving hoes,1,No saving hoes,no saving hoes,0,,0
i held you like a baby bird and now you come at me like this these friends ain't loyal,0,RT @Ilovebamf: I held you like a baby bird.. &#128546; and now you come at me like this.. These friends ain't loyal &#128546;&#128557; http://t.co/WinZvfxdL8,i held you like a baby bird and now you come at me like this these friends is not loyal,0,,0
you notice that im the real them other bitches is wack,1,RT @corinne_sauer: You notice that im the real them other bitches is wack,you notice that i am the real them other bitches is wack,0,,0
i got the streets in a head lock i got yo bitch in a leg lock,1,"I got the streets in a head lock, I got yo bitch in a leg lock",i got the streets in a head lock i got yo bitch in a leg lock,0,,0
i still can't understand why we don't dump our trash in the ocean it's pretty big and it'd surely be cheaper than launching it into space,0,I still can't understand why we don't dump our trash in the ocean. it's pretty big and it'd surely be cheaper than launching it into space.,i still cannot understand why we do not dump our trash in the ocean it is pretty big and it d surely be cheaper than launching it into space,0,,0
morning terror read 99% of the ocean's trash is gone and no one knows where it went,0,Morning terror read: 99% of the ocean's trash is gone and no one knows where it went &#8594; http://t.co/CwC2LWCV3T,morning terror read ninety nine percent of the oceans trash is gone and no one knows where it went,0,,0
trash ain't it,0,@Johnny3_ @HPGuilty trash ain't it,trash is not it,0,,0
a miserable bitch is on the docket today lois 'misery lerner better get grilled the ordered harassment was undeniable,1,A miserable bitch is on the docket today. Lois 'Misery' Lerner better get grilled. The ordered harassment was undeniable. #breakherdown #war,a miserable bitch is on the docket today lois misery lerner better get grilled the ordered harassment was undeniable breakherdown war,0,,0
well that's some cracker jack secret service work there jfk anyone,0,@BlackManUSA @chrislhayes well that's some cracker jack secret service work there. jfk anyone?,well that is some cracker jack secret service work there jfk anyone,0,,0
this gameplay is so annoying that i want to wreck it all,0,This gameplay is so annoying that I want to wreck it all.,this gameplay is so annoying that i want to wreck it all,0,,0
charlie day,0,@LandonVanBus Charlie Day?,charlie day,0,,0
hazel e looks like a bird her and kaep prolly related by nose and shit,1,Hazel e looks like a bird... Her and kaep prolly related by nose and shit,hazel e looks like a bird her and kaep prolly related by nose and shit,0,,0
american culture is stuck to the side of the toilet graffiti writers in europe can create better art without any lowlife trash sex jokes,0,American culture is stuck to the side of the toilet. Graffiti writers in Europe can create better art without any lowlife trash sex jokes.,american culture is stuck to the side of the toilet graffiti writers in europe can create better art without any lowlife trash sex jokes,0,,0
this one for dem hipster bitches that shop at value village,1,This one for dem hipster bitches that shop at value village,this one for them hipster bitches that shop at value village,0,,0
"""bae sounds like such a ghetto word use something else",0,"""Bae"" sounds like such a ghetto word. Use something else",bae sounds like such a ghetto word use something else,0,,0
houston has so many trash drivers,0,Houston has so many trash drivers,houston has so many trash drivers,0,,0
just to settle it once and for all which came first the chicken or the egg the egg laid by a bird that was not a chicken,0,RT @neiltyson: Just to settle it once and for all: Which came first the Chicken or the Egg? The Egg -- laid by a bird that was not a Chicken,just to settle it once and for all which came first the chicken or the egg the egg laid by a bird that was not a chicken,0,,0
lmaoooo everything on bet is trash b-rad white mike was on bet he can't be trash,0,"lmaoooo RT @PhillyTheBoss: Everything on BET is trash. RT @MrCOOK_: B-Rad RT @fkinLIVE: White Mike was on BET, he can't be trash",lmaoo everything on bet is trash b rad white mike was on bet he cannot be trash,1,lmaoooo→lmao[elongation],1
i swear to god whitney is a regina george wow im a bitch,1,RT @SoTrippyWhit: &#8220;@laaaeee: I swear to god Whitney is a Regina George. &#128128; http://t.co/bttoCzQK5S&#8221; wow im a bitch &#128123;,i swear to god whitney is a regina george wow i am a bitch,0,,0
china's bird flu outbreak good signs bad signs and very bad signs,0,"RT @washingtonpost: China's bird flu outbreak: 3 good signs, 3 bad signs and 3 very bad signs http://t.co/v3n67Gs5Mw",chinas bird flu outbreak three good signs three bad signs and three very bad signs,0,,0
can fucking a fat bitch be considered a threesome,1,@TheNudesGod can fucking a fat bitch be considered a threesome ?,can fucking a fat bitch be considered a threesome,0,,0
want some cheese with that whine bitch,1,Want some cheese with that whine bitch ?!,want some cheese with that whine bitch,0,,0
i can't stand to be around ghetto girls.&,0,RT @ooxlexx: I can't stand to be around ghetto girls.&#128134;,i cannot stand to be around ghetto girls,0,,0
i feel like i could obliterate this level if i get my timing right,0,I feel like I could obliterate this level if I get my timing right.,i feel like i could obliterate this level if i get my timing right,0,,0
we now know more about twinkies and how old the earth is than what happened in,0,RT @BradThor We now know more about Twinkies and how old the earth is than what happened in #Benghazi.,we now know more about twinkies and how old the earth is than what happened in benghazi,0,,0
